Effect,EffectVersion,Estimate,StdError,CILower,CIUpper,duration_secs,learners,num_folds,cluster_opt,setup
Direct Effect (DE),Individual-Avg,-0.22984177631388442,0.1724374212999855,-0.5741964965702125,0.11451294394244371,1339.7108278274536,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc.FE,nonparametric-cwc.FE
Indirect Effect (IE),Individual-Avg,-0.017633230915665064,0.03665058369595202,-0.09082384929016843,0.05555738745883831,1339.7108278274536,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc.FE,nonparametric-cwc.FE
Direct Effect (DE),Cluster-Avg,-0.0815747799538257,0.21213742143847172,-0.5052097535264087,0.3420601936187573,1339.7108278274536,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc.FE,nonparametric-cwc.FE
Indirect Effect (IE),Cluster-Avg,-0.036636752485118725,0.04117813738186336,-0.11886882178833438,0.04559531681809694,1339.7108278274536,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc.FE,nonparametric-cwc.FE
Direct Effect (DE),Individual-Avg,-0.21925001233975838,0.17480951897904565,-0.5683417730049222,0.1298417483254054,380.0156240463257,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc,nonparametric-cwc
Indirect Effect (IE),Individual-Avg,-0.025774976607221778,0.038424819741911614,-0.10250871545214918,0.050958762237705624,380.0156240463257,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc,nonparametric-cwc
Direct Effect (DE),Cluster-Avg,-0.07282349653857162,0.21616096234692594,-0.5044934157367928,0.35884642265964956,380.0156240463257,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc,nonparametric-cwc
Indirect Effect (IE),Cluster-Avg,-0.05283816339767111,0.04359051168593119,-0.13988770487350563,0.03421137807816341,380.0156240463257,"SL.mean, SL.glm, SL.glmnet, SL.gam, SL.ranger, xgb_d2_2",5,cwc,nonparametric-cwc
Direct Effect (DE),Individual-Avg,-0.22358566478183628,0.1739704457095882,-0.5710018098016238,0.12383048023795129,0.7610609531402588,SL.glm,1,cwc,parametric-cwc
Indirect Effect (IE),Individual-Avg,-0.019871901559925985,0.0364773463800732,-0.09271656783773438,0.052972764717882405,0.7610609531402588,SL.glm,1,cwc,parametric-cwc
Direct Effect (DE),Cluster-Avg,-0.06406656720299295,0.2157886757053083,-0.4949930360447721,0.36685990163878623,0.7610609531402588,SL.glm,1,cwc,parametric-cwc
Indirect Effect (IE),Cluster-Avg,-0.048293908761088786,0.042514284053616416,-0.13319424119364287,0.03660642367146531,0.7610609531402588,SL.glm,1,cwc,parametric-cwc
Direct Effect (DE),Individual-Avg,-0.2221259616658788,0.1741495656656389,-0.5698998063189198,0.1256478829871622,10.369732856750488,SL.glm,1,cwc.FE,parametric-cwc.FE
Indirect Effect (IE),Individual-Avg,-0.01968222590727137,0.03667916056419318,-0.09292991182195715,0.05356546000741441,10.369732856750488,SL.glm,1,cwc.FE,parametric-cwc.FE
Direct Effect (DE),Cluster-Avg,-0.06171544527378493,0.21598917597439438,-0.49304230988553066,0.3696114193379608,10.369732856750488,SL.glm,1,cwc.FE,parametric-cwc.FE
Indirect Effect (IE),Cluster-Avg,-0.048226785456377624,0.04269629996350552,-0.13349060069480728,0.03703702978205202,10.369732856750488,SL.glm,1,cwc.FE,parametric-cwc.FE
